Frequency (Hz),Magnitude (dB),Phase (°)
1541.263354,60.531743107,0.80037406944
1657.227009,60.533502071,0.63607776639
1781.915693,60.544883607,0.62046851253
1915.985873,60.548908728,0.55756581375
2060.143406,60.538496532,0.55401859559
2215.147258,60.532606178,0.42229063366
2381.8135,60.535095048,0.41445703541
2561.019601,60.523019757,0.30834139717
2753.709054,60.53362077,0.33362390178
2960.896335,60.524673216,0.30137266967
3183.672253,60.553801397,0.25892209659
3423.209687,60.523885093,0.27441023115
3680.769761,60.542403931,0.14460633457
3957.708488,60.545746483,-0.0022685553824
4255.483905,60.55976124,0.078899839775
4575.663752,60.544979578,0.13119052411
4919.933722,60.535694008,-0.30999128524
5290.106341,60.544723502,-0.068291535363
5688.130508,60.539815454,0.10254626998
6116.101754,60.564262522,-0.17084408197
6576.27328,60.561149373,0.11196076406
7071.067812,60.559676903,-0.0050723233938
7603.090363,60.537952331,-0.11903766953
8175.141946,60.548125072,-0.09064459846
8790.234319,60.531646019,-0.03890736095
9451.605842,60.541293274,-0.3068495288
10162.73853,60.536057237,-0.19980713127
10927.376379,60.583580896,-0.28103606553
11749.545084,60.557922419,-0.30268298668
12633.573228,60.523548013,-0.44778634167
13584.115076,60.541614929,-0.47299004735
14606.175075,60.553682167,-0.62851442461
15705.134205,60.561351458,-0.56505679608
16886.778307,60.551461879,-0.57067742115
18157.328544,60.544159379,-1.0081930748
19523.474155,60.54583465,-1.0907457842
20992.407676,60.568081091,-0.74276263427
22571.862801,60.543172366,-1.0755514763
24270.155104,60.552464114,-1.1056290374
26096.225818,60.555187632,-1.1863755385
28059.688906,60.552292913,-1.1515829625
30170.881683,60.568904686,-1.3175632325
32440.919233,60.575502377,-1.6168326664
34881.752935,60.62326957,-1.6787167775
37506.233381,60.570977727,-1.6720321084
40328.178031,60.543940905,-1.8385960731
43362.443964,60.600032275,-1.8563132521
46625.006097,60.537889596,-2.0295433733
50133.041286,60.538246369,-2.1473023143
53905.018765,60.580546973,-2.2351469759
57960.797381,60.5334659,-2.5321110334
62321.730148,60.558323815,-3.038621633
67010.776664,60.567338534,-3.2229202036
72052.623996,60.599183092,-3.2649591808
77473.816648,60.582976142,-3.6898173652
83302.896316,60.576866401,-4.0403344912
89570.552153,60.516291564,-4.054490123
96309.782347,60.562212331,-4.5688398076
103556.06785,60.556599309,-4.7661846306
111347.55916,60.542956937,-5.1267433961
119725.27722,60.590120418,-5.6485029681
128733.32936,60.53993428,-6.0992780188
138419.14148,60.559473256,-6.5176477973
148833.70782,60.603116539,-6.976301589
160031.85937,60.558666043,-7.4576416582
172072.55258,60.594935464,-8.0072366632
185019.17972,60.567053011,-8.6600307991
198939.90269,60.580708106,-9.6555545747
213908.01181,60.552213848,-10.31390656
230002.31175,60.545451112,-11.041875573
247307.53637,60.575099186,-11.977365376
265914.79485,60.60281317,-12.827222917
285922.05138,60.564887719,-13.825063453
307434.6409,60.587776545,-14.8632155
330565.82369,60.570060715,-15.986410118
355437.38166,60.557715381,-17.297581546
382180.2595,60.573746978,-18.511243177
410935.25411,60.617369325,-20.094546327
441853.75584,60.609093991,-21.787489079
475098.54558,60.547036163,-23.046581083
510844.65171,60.539354285,-24.938778978
549280.27165,60.548419788,-26.873045533
590607.76269,60.539306155,-28.8939161
635044.70733,60.509844532,-31.369872797
682825.05883,60.50624005,-33.794411049
734200.37296,60.489304845,-36.402913119
789441.13237,60.423956437,-39.361713401
848838.17065,60.430201292,-42.413369245
912704.20354,60.369309867,-45.715431189
981375.47527,60.310888717,-49.300830471
1055213.5289,60.255000119,-53.347317057
1134607.1098,60.156924763,-57.513465375
1219974.2121,60.066068718,-62.171006168
1311764.2798,59.948308107,-66.999308485
1410460.5726,59.773909421,-72.520631373
1516582.7104,59.535554054,-78.020886876
1630689.409,59.299827144,-84.190140419
1753381.4214,58.964689528,-90.573183528
1885304.7013,58.624279793,-97.630986673
2027153.803,58.14376657,-104.63909426
2179675.5391,57.613545214,-112.43333035
2343672.9116,56.98274803,-120.28639278
2520009.3399,56.23711985,-128.30809945
2709613.2066,55.426193066,-136.03582003
2913482.7452,54.49038483,-144.29397246
3132691.2955,53.528102272,-152.30668988
3368392.9548,52.416382096,-160.5272311
3621828.6539,51.24582283,-168.19506398
3894332.6905,50.036522306,-175.7680804
4187339.7539,48.667272253,176.76182448
4502392.4785,47.323178639,168.94533376
4841149.5655,45.914066365,162.01796065
5205394.5159,44.46874679,155.0647564
5597045.0199,43.023126079,148.25046233
6018163.0535,41.481421788,141.57894817
6470965.7346,39.96668141,135.05482741
6957836.9955,38.40691476,128.49875486
7481340.1339,36.782860607,122.01193479
8044231.3086,35.254683171,115.60646394
8649474.0498,33.663867313,109.00724685
9300254.862,32.063098089,102.03279467
10000000.0,30.463430097,95.444939252
5.0,47.424130725,-160.39910891
5.376197,48.908501366,-169.91899864
5.780698,50.269790029,-179.81168755
6.215634,51.441001297,171.16959081
6.683295,52.483742578,161.95053138
7.186141,53.474679173,152.29651218
7.726822,54.294264753,143.73806418
8.308183,55.073754529,135.04665576
8.933285,55.741943862,126.63769197
9.60542,56.303480205,119.00789995
10.328125,56.818527547,111.43801642
11.105207,57.257291286,104.46305924
11.940755,57.667392668,97.645815198
12.83917,58.020304195,91.446960936
13.805181,58.299726392,85.603115889
14.843874,58.562074285,80.015832279
15.960717,58.830784954,74.787116013
17.161591,59.015542127,69.850531786
18.452818,59.20083032,65.159012936
19.841196,59.380580337,60.826118224
21.334035,59.523155343,56.781527417
22.939194,59.630318591,52.984427906
24.665124,59.733098961,49.409903964
26.520912,59.831722457,46.106510168
28.516328,59.917185116,42.840297366
30.661878,59.99858753,39.908668293
32.968858,60.057478167,37.353118674
35.449413,60.126621626,34.718963931
38.116604,60.193880782,32.413735908
40.984473,60.232763171,29.991260091
44.068118,60.278682855,28.347046315
47.383775,60.327433597,26.058645949
50.948899,60.345826534,24.574457329
54.782261,60.413401982,22.673781266
58.904043,60.367508867,21.555824785
63.335945,60.439218698,19.879441504
68.1013,60.329505155,18.255604618
73.225198,60.377453693,16.933615267
78.734614,60.434882739,16.119427659
84.658555,60.41619544,14.67984431
91.02821,60.45075739,13.544726325
97.877114,60.455465789,12.939423581
105.241324,60.481230087,11.771034619
113.159613,60.481551194,11.231744678
121.673669,60.478547028,10.278487464
130.828317,60.498974992,9.5337532387
140.671754,60.500026905,8.8555592469
151.255806,60.489526492,8.5496323961
162.636194,60.514056404,7.8128729291
