I1 (A),V1 (V),P1 (W),I2 (A),V2 (V),P2 (W),Efficiency (%),Ploss (W)
4.361E-02,12.0010,0.523,1.000E-03,1.5044,0.002,0.29,0.522
4.376E-02,11.9990,0.525,1.501E-03,1.5028,0.002,0.43,0.523
4.387E-02,12.0000,0.526,2.000E-03,1.5033,0.003,0.57,0.523
4.395E-02,12.0010,0.527,2.500E-03,1.5028,0.004,0.71,0.524
4.402E-02,12.0000,0.528,3.000E-03,1.5033,0.005,0.85,0.524
4.407E-02,12.0000,0.529,3.501E-03,1.5038,0.005,1.00,0.524
4.415E-02,12.0000,0.530,4.001E-03,1.5028,0.006,1.13,0.524
4.421E-02,12.0000,0.531,4.500E-03,1.5028,0.007,1.27,0.524
4.427E-02,11.9990,0.531,5.000E-03,1.5038,0.008,1.42,0.524
4.434E-02,12.0010,0.532,5.500E-03,1.5038,0.008,1.55,0.524
4.440E-02,11.9990,0.533,6.000E-03,1.5033,0.009,1.69,0.524
4.446E-02,11.9990,0.533,6.500E-03,1.5033,0.010,1.83,0.524
4.454E-02,12.0000,0.534,7.000E-03,1.5028,0.011,1.97,0.524
4.458E-02,12.0010,0.535,7.500E-03,1.5028,0.011,2.11,0.524
4.470E-02,11.9980,0.536,7.999E-03,1.5033,0.012,2.24,0.524
4.471E-02,12.0000,0.537,8.500E-03,1.5028,0.013,2.38,0.524
4.477E-02,11.9990,0.537,9.000E-03,1.5038,0.014,2.52,0.524
4.485E-02,11.9990,0.538,9.501E-03,1.5033,0.014,2.65,0.524
4.490E-02,11.9990,0.539,1.000E-02,1.5038,0.015,2.79,0.524
4.554E-02,12.0000,0.546,1.500E-02,1.5028,0.023,4.12,0.524
4.616E-02,12.0020,0.554,2.001E-02,1.5028,0.030,5.43,0.524
4.679E-02,12.0000,0.561,2.501E-02,1.5038,0.038,6.70,0.524
4.745E-02,12.0000,0.569,3.001E-02,1.5033,0.045,7.92,0.524
4.804E-02,11.9990,0.576,3.501E-02,1.5028,0.053,9.13,0.524
4.867E-02,12.0000,0.584,4.000E-02,1.5038,0.060,10.30,0.524
4.930E-02,12.0000,0.592,4.500E-02,1.5038,0.068,11.44,0.524
4.993E-02,12.0000,0.599,5.000E-02,1.5033,0.075,12.55,0.524
5.059E-02,11.9990,0.607,5.500E-02,1.5038,0.083,13.63,0.524
5.120E-02,12.0000,0.614,6.000E-02,1.5033,0.090,14.68,0.524
5.183E-02,11.9990,0.622,6.499E-02,1.5028,0.098,15.70,0.524
5.245E-02,12.0010,0.629,6.999E-02,1.5038,0.105,16.72,0.524
5.308E-02,11.9990,0.637,7.500E-02,1.5038,0.113,17.71,0.524
5.372E-02,11.9990,0.645,8.001E-02,1.5038,0.120,18.67,0.524
5.434E-02,12.0000,0.652,8.500E-02,1.5028,0.128,19.59,0.524
5.493E-02,12.0000,0.659,9.001E-02,1.5028,0.135,20.52,0.524
5.560E-02,12.0010,0.667,9.500E-02,1.5038,0.143,21.41,0.524
5.622E-02,11.9990,0.675,1.000E-01,1.5033,0.150,22.28,0.524
6.251E-02,12.0000,0.750,1.499E-01,1.5038,0.225,30.05,0.525
6.884E-02,12.0000,0.826,2.000E-01,1.5028,0.301,36.38,0.526
7.512E-02,12.0010,0.902,2.499E-01,1.5028,0.376,41.66,0.526
