Frequency (Hz),Magnitude (dB),Phase (°)
10.0,56.917797762,104.9735196
10.715193,57.328060046,98.65154691
11.481536,57.68655616,92.808809974
12.302688,58.00077404,87.40911089
13.182567,58.286809269,82.202517478
14.125375,58.544548501,77.243939384
15.135612,58.775640826,72.539782139
16.218101,58.982121454,68.102540796
17.378008,59.16966712,63.837299445
18.620871,59.330413882,59.953435628
19.952623,59.475206404,56.250743675
21.379621,59.606443924,52.733896062
22.908677,59.72147302,49.409314245
24.547089,59.825418058,46.296581842
26.30268,59.916075793,43.393607701
28.183829,59.997482535,40.643742085
30.199517,60.072523119,38.043296065
32.359366,60.138248534,35.613202033
34.673685,60.192596379,33.337818164
37.153523,60.243095144,31.211624199
39.810717,60.288844384,29.205275046
42.657952,60.327046808,27.349921637
45.708819,60.361279376,25.571307089
48.977882,60.394493108,23.917657057
52.480746,60.422896126,22.355470958
56.234133,60.444767707,20.910040125
60.255959,60.469057758,19.564072466
64.565423,60.487142248,18.265328894
69.183097,60.502519372,17.090178829
74.131024,60.520748121,15.958817655
79.432823,60.531458771,14.930297747
85.113804,60.547183271,13.93601922
91.201084,60.553850944,13.026212037
97.723722,60.568488391,12.176701652
104.712855,60.575077282,11.374839856
112.201845,60.580478998,10.629787993
120.226443,60.589420225,9.9285306699
128.824955,60.595182264,9.2723626602
138.038426,60.599963374,8.6498549112
147.910839,60.605734076,8.0936920279
158.489319,60.608456803,7.5443117922
169.824365,60.614215639,7.0420675618
181.970086,60.619593004,6.576030193
194.98446,60.618689683,6.1332696266
208.929613,60.622050035,5.7256756397
223.872114,60.62429945,5.342210244
239.883292,60.626683113,4.976508155
257.039578,60.62910438,4.6423532866
275.42287,60.629271036,4.3239515865
295.120923,60.632295386,4.0293903764
316.227766,60.634835436,3.7599087479
338.844156,60.634661455,3.4874658371
363.078055,60.636860124,3.2502909604
389.045145,60.636798167,3.0165857911
416.869383,60.639449983,2.8029416839
446.683592,60.636684988,2.5973713132
478.630092,60.639283564,2.4054532728
512.861384,60.640198897,2.2269441347
549.540874,60.641423013,2.054874484
588.843655,60.642809295,1.9086279796
630.957344,60.643246863,1.7516518079
676.082975,60.642291612,1.5980952805
724.43596,60.642144027,1.4741433296
776.247117,60.646218068,1.3549981823
831.763771,60.643926242,1.2325588181
891.250938,60.644013745,1.1113300376
954.992586,60.643692161,1.0126518946
1023.292992,60.646550359,0.89551195001
1096.478196,60.646292505,0.79366811522
1174.897555,60.647257323,0.69594151102
1258.925412,60.648046578,0.59849802973
1348.962883,60.647094488,0.49741677771
1445.439771,60.646225012,0.41412202547
1548.816619,60.647932769,0.31397009936
1659.586907,60.648025115,0.21726775015
1778.27941,60.645424103,0.14652291091
1905.460718,60.647585577,0.052309798486
2041.737945,60.648630668,-0.031761360161
2187.761624,60.645665904,-0.11132392207
2344.228815,60.64735204,-0.21942202201
2511.886432,60.644723403,-0.2937171346
2691.534804,60.643835818,-0.37246316303
2884.031503,60.643588225,-0.46042291962
3090.295433,60.652744024,-0.56218149848
3311.311215,60.649806874,-0.64626171532
3548.133892,60.644318502,-0.73603707221
3801.893963,60.645106769,-0.82485189095
4073.802778,60.644631697,-0.92512440631
4365.158322,60.645534728,-1.0705170433
4677.351413,60.639901835,-1.1442502514
5011.872336,60.637857794,-1.2749378738
5370.317964,60.636945107,-1.3654990246
5754.399373,60.63838023,-1.4898471509
6165.950019,60.631983007,-1.6279798722
6606.93448,60.628028293,-1.7394791974
7079.457844,60.630968551,-1.8651431808
7585.77575,60.627759806,-2.0217459889
8128.305162,60.625787189,-2.164178539
8709.6359,60.621935448,-2.3243992943
9332.543008,60.623704424,-2.476183931
10000.0,60.6236881,-2.6881933829
10715.193052,60.622189021,-2.8514935671
11481.536215,60.623239516,-3.0085161572
12302.687708,60.619014108,-3.2351002864
13182.567386,60.616245062,-3.4729641192
14125.375446,60.619775073,-3.7396090423
15135.612484,60.617692805,-4.0366654703
16218.100974,60.618776164,-4.2949149362
17378.008287,60.615661693,-4.5861705929
18620.871367,60.617181712,-4.9342721313
19952.62315,60.611948085,-5.2918251044
21379.620895,60.617554104,-5.6745618468
22908.676528,60.620170273,-6.0451910754
24547.089157,60.626610308,-6.4757923121
26302.679919,60.621012034,-6.9385732307
28183.829313,60.616360049,-7.440596416
30199.517204,60.612351791,-8.0060157738
32359.365693,60.621976328,-8.5615918041
34673.685045,60.620171933,-9.1699613718
37153.52291,60.623692707,-9.8489435853
39810.717055,60.626603101,-10.543147518
42657.95188,60.617659202,-11.279296568
45708.818961,60.614574666,-12.090723595
48977.881937,60.608350506,-12.950036843
52480.746025,60.612764153,-13.885328186
56234.132519,60.607125197,-14.879974999
60255.958607,60.607872978,-15.920212975
