Frequency (Hz),Magnitude (dB),Phase (°)
10.0,56.616189946,112.89282027
10.592537,56.99738362,107.44539471
11.220185,57.346130504,102.18723439
11.885022,57.661724148,97.19854923
12.589254,57.949676161,92.405930585
13.335214,58.222131312,87.644780783
14.125375,58.452694664,83.368521179
14.962357,58.67117328,79.142600066
15.848932,58.872044702,75.026744343
16.78804,59.055338621,71.173018192
17.782794,59.214282203,67.559446865
18.836491,59.361056409,64.075311585
19.952623,59.492890005,60.743239423
21.13489,59.613036265,57.533848741
22.387211,59.725606604,54.505502461
23.713737,59.82528702,51.627088646
25.118864,59.913268021,48.88867512
26.607251,59.995367857,46.272028729
28.183829,60.064497071,43.804182927
29.853826,60.13245286,41.462512627
31.622777,60.190211153,39.267707964
33.496544,60.245920358,37.136079797
35.481339,60.292457541,35.122283549
37.58374,60.33662613,33.231845373
39.810717,60.374041603,31.430409956
42.16965,60.410922033,29.714048389
44.668359,60.439807131,28.077201314
47.315126,60.467207891,26.568011231
50.118723,60.496154433,25.101208798
53.088444,60.516411328,23.73001434
56.234133,60.539821464,22.437456229
59.566214,60.558735509,21.204386265
63.095734,60.575132728,20.040091463
66.834392,60.586891619,18.929093593
70.794578,60.605350457,17.880616658
74.989421,60.614505456,16.887433641
79.432823,60.62636238,15.983206716
84.139514,60.638981975,15.104586746
89.125094,60.646308608,14.262428466
94.406088,60.652462017,13.464768556
100.0,60.657911632,12.732170161
105.925373,60.662472459,12.026372384
112.201845,60.676937488,11.345116316
118.850223,60.678255128,10.723981594
125.892541,60.686861663,10.107622193
133.352143,60.685966278,9.574513629
141.253754,60.691286228,9.0502005235
149.623566,60.698120487,8.52391248
158.489319,60.698008256,8.0648929142
167.880402,60.702024651,7.6238986247
177.827941,60.704506424,7.1731208392
188.364909,60.704033523,6.7546001506
199.526231,60.705711481,6.3776862595
211.348904,60.706982828,5.9962880655
223.872114,60.711562988,5.6925305108
237.137371,60.713825357,5.3665947199
251.188643,60.717046315,5.0445853998
266.072506,60.713633536,4.749566838
281.838293,60.718800162,4.473076128
298.538262,60.720387018,4.2574507377
316.227766,60.718461647,3.9715985394
334.965439,60.719404887,3.7678928332
354.813389,60.722977517,3.5431962583
375.837404,60.724448889,3.3216667852
398.107171,60.725910927,3.085887311
421.696503,60.71828148,2.935948609
446.683592,60.720912074,2.7416779692
473.151259,60.72282759,2.6058603339
501.187234,60.725754546,2.4463274167
530.884444,60.728216336,2.3084095366
562.341325,60.72732782,2.1687201002
595.662144,60.726956837,2.0108088724
630.957344,60.729672669,1.8365465802
668.343918,60.732738913,1.7643506969
707.945784,60.735346044,1.6709837778
749.894209,60.729234331,1.4853868787
794.328235,60.730921902,1.4781259102
841.395142,60.726509764,1.3111705214
891.250938,60.727938359,1.1805731418
944.060876,60.733680156,1.0812612534
1000.0,60.734144367,0.96596983889
1059.253725,60.728714797,0.90544468842
1122.018454,60.727804989,0.83912029332
1188.502227,60.742264043,0.73141621427
1258.925412,60.735036355,0.60757187437
1333.521432,60.730985105,0.53848574309
1412.537545,60.737710312,0.47811354701
1496.235656,60.719235633,0.43538711312
1584.893192,60.733384198,0.3202703561
1678.804018,60.733010587,0.21201637533
1778.27941,60.73046309,0.11011523121
1883.649089,60.735401181,0.052110389412
1995.262315,60.732456832,-0.010085733966
2113.48904,60.738351881,-0.088987052064
2238.721139,60.725543841,-0.14161343737
2371.373706,60.7261163,-0.22644885311
2511.886432,60.717761685,-0.27727831088
2660.72506,60.733454035,-0.39283614
2818.382931,60.727660628,-0.47189865533
2985.382619,60.724530141,-0.55991704488
3162.27766,60.741851935,-0.65610405574
3349.654392,60.723368945,-0.76481259246
3548.133892,60.715293756,-0.81682910617
3758.374043,60.715120975,-0.8147489548
3981.071706,60.725228676,-0.94273713287
4216.965034,60.713270318,-1.012272656
4466.835922,60.712326863,-1.1167635975
4731.51259,60.710101448,-1.1902220684
5011.872336,60.707570022,-1.3628520473
5308.844442,60.708731562,-1.5043278557
5623.413252,60.693165922,-1.5339788738
5956.621435,60.712742606,-1.4888454778
6309.573445,60.71661274,-1.7999356413
6683.439176,60.700370035,-1.9131947768
7079.457844,60.703838908,-2.0048428505
7498.942093,60.712148087,-2.0021414062
7943.282347,60.714594072,-2.3102649334
8413.951416,60.708263576,-2.3623187294
8912.509381,60.694524399,-2.5159935278
9440.608763,60.682889185,-2.6962530677
10000.0,60.702585182,-2.9534266353
10592.537252,60.703371586,-3.0508539933
11220.184543,60.713061891,-3.0374427171
11885.022274,60.703569043,-3.3953810576
12589.254118,60.704157588,-3.5512560813
13335.214322,60.705059136,-3.6725710736
14125.375446,60.698950219,-4.0276587084
14962.356561,60.689311605,-4.1000854149
15848.931925,60.705685253,-4.5043756753
16788.040181,60.702690995,-4.7181598404
17782.7941,60.690729098,-4.966216819
18836.490895,60.687259874,-5.273144258
19952.62315,60.670742205,-5.7075776816
21134.890398,60.701258762,-5.9764888988
22387.211386,60.698632351,-6.1782531721
23713.737057,60.704542496,-6.5100175325
25118.864315,60.685071712,-7.0113569768
26607.250598,60.707478274,-7.2940493801
28183.829313,60.69428341,-7.9538833759
29853.826189,60.687828993,-8.2134142386
31622.776602,60.721854869,-8.9100347315
33496.543916,60.682357448,-9.3389131069
35481.338923,60.722203081,-9.8703468736
37583.740429,60.67577406,-10.196717493
39810.717055,60.69100142,-11.065593562
42169.650343,60.714780471,-11.839034762
44668.359215,60.701110068,-12.32534065
47315.125896,60.686978853,-13.024503386
50118.723363,60.72527399,-13.886097674
53088.444423,60.678820348,-14.913613114
56234.132519,60.693363717,-15.688733243
59566.214353,60.665234204,-16.62238089
63095.734448,60.702585795,-17.553743951
66834.391757,60.6984809,-18.706977379
70794.578438,60.709952881,-19.648121916
74989.420933,60.687858459,-20.960192492
79432.823472,60.675272979,-22.214944117
84139.514165,60.681395399,-23.439404294
89125.093813,60.6717949,-25.133635034
94406.087629,60.704601949,-26.43308166
100000.0,60.680005157,-27.935594103
105925.37252,60.66619363,-29.640733874
112201.84543,60.668971771,-31.314989584
118850.22274,60.668756453,-33.320609671
125892.54118,60.665419046,-35.431017301
133352.14322,60.64658572,-37.42214844
141253.75446,60.660818049,-39.640661777
149623.56561,60.67224223,-41.780476253
158489.31925,60.670875703,-44.48985718
167880.40181,60.646218994,-46.912767917
177827.941,60.6741768,-49.890140824
188364.90895,60.627332727,-52.939323352
199526.2315,60.624159046,-56.295512306
211348.90398,60.641896898,-59.492243487
223872.11386,60.604115327,-63.166986827
237137.37057,60.619846828,-66.798859442
251188.64315,60.619144453,-71.299345523
266072.50598,60.610669966,-75.533078233
281838.29313,60.580903004,-80.339110936
298538.26189,60.505767948,-85.068724394
316227.76602,60.495479924,-90.493646384
334965.43916,60.487791509,-96.054165529
354813.38923,60.423730325,-102.15740554
375837.40429,60.383187474,-108.74005135
398107.17055,60.337996618,-115.64820655
421696.50343,60.29110264,-123.24809631
446683.59215,60.197421703,-131.19806845
473151.25896,60.129976608,-139.97190697
501187.23363,59.963989644,-149.40181595
530884.44423,59.798640038,-159.62520396
562341.32519,59.57384261,-170.97728007
595662.14353,59.219689175,176.77274798
630957.34448,58.752049979,163.62724135
668343.91757,58.113103356,149.47235271
707945.78438,57.27387142,134.80142353
749894.20933,56.15928178,119.56535629
794328.23472,54.834589415,104.54051266
841395.14165,53.272617753,89.768302159
891250.93813,51.533087,75.257811864
944060.87629,49.682305719,61.470397327
1000000.0,47.674467222,48.722768178
10.0,56.618841395,112.9182082
10.592537,56.999876995,107.42489702
11.220185,57.348140783,102.18188749
11.885022,57.66313366,97.164393817
12.589254,57.948884102,92.384710068
13.335214,58.222713871,87.614766893
14.125375,58.452914288,83.33051847
14.962357,58.671209461,79.1145614
15.848932,58.875713086,75.003299904
16.78804,59.054744893,71.111423759
17.782794,59.213231285,67.553734774
18.836491,59.360408041,64.042288199
19.952623,59.495837808,60.694889993
21.13489,59.616851492,57.499416545
22.387211,59.728050964,54.448624213
23.713737,59.825094955,51.576458722
25.118864,59.913351424,48.888647435
26.607251,59.99727202,46.238654601
28.183829,60.06982828,43.78535761
29.853826,60.134235368,41.422552876
31.622777,60.19385024,39.206711863
33.496544,60.246335535,37.074677938
35.481339,60.293881854,35.078485504
37.58374,60.33630696,33.160188215
39.810717,60.378295777,31.377435587
42.16965,60.409700208,29.658500349
44.668359,60.444660398,28.044650253
47.315126,60.471325888,26.48687067
50.118723,60.495861723,25.064200795
53.088444,60.521875742,23.686624899
56.234133,60.54156015,22.349992998
59.566214,60.56006204,21.107127794
63.095734,60.575680829,19.925249167
66.834392,60.590126538,18.854583866
70.794578,60.601033861,17.819844963
74.989421,60.614547241,16.816861776
79.432823,60.628335879,15.856771813
84.139514,60.636240402,15.001692299
89.125094,60.644645437,14.165959552
94.406088,60.653543278,13.346576522
100.0,60.659416199,12.57399697
105.925373,60.666643167,11.874391652
112.201845,60.676440911,11.179482977
118.850223,60.681838197,10.560127887
125.892541,60.683915499,9.9523116333
133.352143,60.683909063,9.3832422077
141.253754,60.693184691,8.8391555931
149.623566,60.696949014,8.3157869184
158.489319,60.701531618,7.854335375
167.880402,60.70105705,7.4113929108
177.827941,60.703485378,6.9305749724
188.364909,60.708483795,6.5138431805
199.526231,60.703894931,6.1034644442
211.348904,60.713800762,5.7059747575
223.872114,60.713041056,5.3649525002
