Frequency (Hz),Magnitude (dB),Phase (°)
734200.37296,60.443574066,-33.398674713
789441.13237,60.42397678,-36.177817761
848838.17065,60.391411087,-38.797980074
912704.20354,60.318200299,-41.953757799
981375.47527,60.281540193,-45.340182795
1055213.5289,60.199673101,-49.069504617
1134607.1098,60.100264195,-52.888530672
1219974.2121,60.04452963,-56.852069173
1311764.2798,59.874310154,-61.584889163
1410460.5726,59.686495659,-66.635708324
1516582.7104,59.486290576,-71.626209444
1630689.409,59.237962318,-77.282985283
1753381.4214,58.897323869,-83.030736567
1885304.7013,58.574141656,-89.52935886
2027153.803,58.159688414,-95.945259799
2179675.5391,57.655421166,-102.92021211
2343672.9116,57.061856708,-109.66589938
2520009.3399,56.375168685,-116.97589075
2709613.2066,55.575967105,-124.23252983
2913482.7452,54.696728956,-131.42927795
3132691.2955,53.731316964,-138.59925256
3368392.9548,52.708952345,-145.67475455
3621828.6539,51.599680871,-152.35450551
3894332.6905,50.426272953,-159.06534032
4187339.7539,49.184233004,-165.46322813
4502392.4785,47.920893779,-171.75973466
4841149.5655,46.614730692,-177.50228748
5205394.5159,45.307143083,176.84388335
5597045.0199,43.922459658,171.5010531
6018163.0535,42.590204939,166.35948793
6470965.7346,41.243546343,161.11660445
6957836.9955,39.823943004,156.02353795
7481340.1339,38.49643658,151.30220055
8044231.3086,37.134914555,146.34593843
8649474.0498,35.7766337,141.41325535
9300254.862,34.482276329,136.45083797
10000000.0,33.194363089,131.65318051
5.0,47.513878095,-161.40521359
5.376197,48.988138766,-170.68713003
5.780698,50.337755257,179.51051085
6.215634,51.48873254,170.26906686
6.683295,52.526131254,161.22550137
7.186141,53.538539335,151.52901245
7.726822,54.327652515,142.9447349
8.308183,55.110957432,134.24829916
8.933285,55.73942548,126.16451877
9.60542,56.318246239,118.38011291
10.328125,56.816609077,110.83695539
11.105207,57.27489461,103.8085525
11.940755,57.666283025,97.244283048
12.83917,57.980991276,90.97932501
13.805181,58.301488281,85.256315788
14.843874,58.561875807,79.620538051
15.960717,58.799209723,74.410143767
17.161591,59.009331085,69.547253802
18.452818,59.195452101,64.871547872
19.841196,59.362122738,60.527647011
21.334035,59.490294403,56.591949022
22.939194,59.614554952,52.797762609
24.665124,59.718050767,49.221191187
26.520912,59.814518085,45.839130591
28.516328,59.912198681,42.740992196
30.661878,59.987849867,39.908324021
32.968858,60.050450023,37.152433822
35.449413,60.112781202,34.684512506
38.116604,60.165842736,32.325619337
40.984473,60.186717104,30.101588437
44.068118,60.242155349,28.066437013
47.383775,60.25127014,26.097450251
50.948899,60.300358117,24.306058786
54.782261,60.332975364,22.591176104
58.904043,60.351479369,21.090531766
63.335945,60.375753668,19.715678195
68.1013,60.399566667,18.269805335
73.225198,60.399432861,17.062306509
78.734614,60.423535802,15.809618844
84.658555,60.430995663,14.718358935
91.02821,60.447398324,13.671727076
97.877114,60.451591513,12.686307372
105.241324,60.461540054,11.764015488
113.159613,60.475427352,11.116077205
121.673669,60.456221604,10.287372377
130.828317,60.489512584,9.6751127607
140.671754,60.485472933,8.9343986328
151.255806,60.482171129,8.3080140469
162.636194,60.479592175,7.7874679653
174.872836,60.488051889,7.1297778949
188.030155,60.523878961,6.6987491636
202.177421,60.513276383,6.1613039955
217.389119,60.507983042,5.8195076295
233.745336,60.504672956,5.3937798474
251.332183,60.507077014,4.9735807184
270.242253,60.503024497,4.6203186579
290.575105,60.500509873,4.2705698832
312.437787,60.519000455,4.0964818861
335.945403,60.525359479,3.789246493
361.221717,60.505954877,3.4419757915
388.399805,60.51820002,3.1715843016
417.622754,60.520731199,2.9086624448
449.044419,60.509791131,2.7518528679
482.830229,60.521603297,2.6114004692
519.158062,60.516119528,2.3178434512
558.219178,60.523920076,2.1427615301
600.219227,60.526431746,2.0484498525
645.379332,60.52581742,1.8645378287
693.937253,60.521938683,1.5949087714
746.148642,60.537656459,1.609517109
802.288381,60.537354158,1.3859628406
862.652038,60.529518314,1.2392211626
927.557418,60.540783557,1.1368571977
997.346235,60.520140413,1.0473101013
1072.385919,60.522804204,0.96583419313
1153.071539,60.523442567,0.85482000392
1239.827893,60.523474874,0.75967630853
1333.111739,60.53617571,0.61736295328
1433.414201,60.536804664,0.57672717857
1541.263354,60.521810748,0.36751850396
1657.227009,60.528478567,0.30818200531
1781.915693,60.525481354,0.27334920852
1915.985873,60.533875901,0.20211406518
2060.143406,60.524520255,0.066076679559
2215.147258,60.520829648,0.038737412501
2381.8135,60.526224333,-0.1419826567
2561.019601,60.533194191,-0.28321417114
2753.709054,60.508809389,-0.18264139532
2960.896335,60.533036838,-0.1565830068
3183.672253,60.551852432,-0.19346595395
3423.209687,60.549308503,-0.35839992253
3680.769761,60.548187261,-0.40273535046
3957.708488,60.510124898,-0.63173819176
4255.483905,60.565935967,-0.72339320086
4575.663752,60.50221285,-0.68573495061
4919.933722,60.542337381,-0.91883562556
5290.106341,60.523097499,-1.0077158608
