Frequency (Hz),Magnitude (dB),Phase (°)
10.0,56.834972973,105.72098659
10.592537,57.182563773,100.50166199
11.220185,57.48652365,95.522928079
11.885022,57.773364973,90.800312144
12.589254,58.030041478,86.278644072
13.335214,58.271434736,81.793051693
14.125375,58.481780089,77.78957758
14.962357,58.675270199,73.80742148
15.848932,58.854065764,69.931121252
16.78804,59.014222618,66.404880365
17.782794,59.160847377,62.991058286
18.836491,59.290915262,59.76379036
19.952623,59.414751123,56.628489795
21.13489,59.526530975,53.658956527
22.387211,59.623525193,50.815680244
23.713737,59.712991095,48.158147011
25.118864,59.799102934,45.602916249
26.607251,59.869589891,43.185623112
28.183829,59.940749947,40.858677655
29.853826,60.001673032,38.671823748
31.622777,60.051333268,36.625944404
33.496544,60.106662398,34.650300695
35.481339,60.148409497,32.77787275
37.58374,60.191916512,31.017609218
39.810717,60.229796045,29.365812949
42.16965,60.260991319,27.781379516
44.668359,60.289214849,26.249616856
47.315126,60.315699116,24.835618525
50.118723,60.341566241,23.501616376
53.088444,60.368210704,22.20235849
56.234133,60.384103881,21.023583759
59.566214,60.401177852,19.876642053
63.095734,60.423126576,18.793194748
66.834392,60.438625941,17.725701673
70.794578,60.450012971,16.76688208
74.989421,60.460799175,15.836080811
79.432823,60.473475109,14.987609736
84.139514,60.48316737,14.164927854
89.125094,60.492450657,13.374800929
94.406088,60.504132923,12.62936471
100.0,60.510180861,11.957725917
105.925373,60.517656159,11.299084317
112.201845,60.520730767,10.701384404
118.850223,60.524568853,10.074366535
125.892541,60.535563,9.5528021215
133.352143,60.53589548,9.0004204204
141.253754,60.537737237,8.4864588508
149.623566,60.540029227,8.0143713594
158.489319,60.542411325,7.5695763462
167.880402,60.551311788,7.1421550964
177.827941,60.555324518,6.772912341
188.364909,60.555876616,6.3702762385
199.526231,60.55860167,6.0555274606
211.348904,60.561289078,5.6682313234
223.872114,60.565840871,5.3301831523
237.137371,60.563983876,5.0429421214
251.188643,60.564755995,4.7672633039
266.072506,60.567385279,4.5085785508
281.838293,60.57180376,4.2427629313
298.538262,60.567771851,3.9877652207
316.227766,60.572844067,3.7441077355
334.965439,60.57607636,3.5458762294
354.813389,60.575373404,3.3271830493
375.837404,60.574537896,3.1683897903
398.107171,60.575772599,2.9400605987
421.696503,60.576373172,2.7587086758
446.683592,60.576085762,2.5915452482
473.151259,60.571359629,2.4899926878
501.187234,60.575397433,2.3067498386
530.884444,60.581903271,2.1454614421
562.341325,60.57676916,2.041884213
595.662144,60.581261017,1.8941828591
630.957344,60.584155631,1.7808983122
668.343918,60.576745138,1.669479841
707.945784,60.574836174,1.5374066879
749.894209,60.58133532,1.4321485993
794.328235,60.582093455,1.3358383196
841.395142,60.573885904,1.2538665141
891.250938,60.581225008,1.1597438745
944.060876,60.576421459,1.0228151183
1000.0,60.586348271,0.95967909941
1059.253725,60.578352182,0.86043953041
1122.018454,60.593414703,0.80397257521
1188.502227,60.586612807,0.71739537547
1258.925412,60.581735489,0.63449559539
1333.521432,60.584191535,0.52371588027
1412.537545,60.584891279,0.45130109405
1496.235656,60.588237853,0.36755465561
1584.893192,60.583021101,0.36854418551
1678.804018,60.588912292,0.22057995771
1778.27941,60.580378266,0.16893507195
1883.649089,60.58568775,0.11609592608
1995.262315,60.58198222,0.017211427961
2113.48904,60.58616281,-0.047100297793
2238.721139,60.572791554,-0.070334254399
2371.373706,60.586620085,-0.1798771936
2511.886432,60.57856477,-0.29034571089
2660.72506,60.584920754,-0.35076136448
2818.382931,60.591884612,-0.41581472465
2985.382619,60.576399395,-0.4696283138
3162.27766,60.590968978,-0.54507444984
3349.654392,60.592169166,-0.57077962569
3548.133892,60.567184483,-0.73603065768
3758.374043,60.580875715,-0.81201335842
3981.071706,60.579027853,-0.815275853
4216.965034,60.571659507,-0.90113883983
4466.835922,60.567342789,-1.0014083323
4731.51259,60.574103378,-1.1710539278
5011.872336,60.578634535,-1.1646636561
5308.844442,60.5707557,-1.3454645178
5623.413252,60.568195652,-1.4064280026
5956.621435,60.565535281,-1.5222457132
6309.573445,60.566318798,-1.7652889236
6683.439176,60.558849673,-1.795837035
7079.457844,60.552927482,-1.8997373252
7498.942093,60.542608509,-1.9955571801
7943.282347,60.545754857,-2.0626057681
8413.951416,60.557724658,-2.2097661943
8912.509381,60.570851232,-2.2273858955
9440.608763,60.556349287,-2.4903200774
10000.0,60.568746164,-2.7036445742
10592.537252,60.578058338,-2.7651060776
11220.184543,60.560603899,-2.9766075394
11885.022274,60.555374533,-3.0399456494
12589.254118,60.534830455,-3.3065348806
13335.214322,60.551903973,-3.3900120647
14125.375446,60.550466834,-3.720525946
14962.356561,60.542586481,-4.0332605052
15848.931925,60.567183924,-4.2972399618
16788.040181,60.552866571,-4.4712669885
17782.7941,60.551334263,-4.776353674
18836.490895,60.552376133,-4.8851594454
19952.62315,60.541532311,-5.1645696828
21134.890398,60.554740103,-5.6289748397
22387.211386,60.55370988,-5.8733437196
23713.737057,60.588107152,-6.0946840729
25118.864315,60.549663006,-6.418151318
26607.250598,60.56743039,-6.8988114028
28183.829313,60.560397023,-7.5558715943
29853.826189,60.556615906,-7.7365205873
31622.776602,60.587699389,-8.3826165227
33496.543916,60.565422115,-8.6952960544
35481.338923,60.560653443,-9.2106753006
37583.740429,60.579457106,-9.7229868414
39810.717055,60.574770825,-10.653907667
42169.650343,60.604480885,-11.28833669
44668.359215,60.583443023,-11.563838231
47315.125896,60.540331544,-12.324067672
50118.723363,60.553890854,-13.150449522
53088.444423,60.556689234,-13.948629466
56234.132519,60.566353239,-14.865675088
59566.214353,60.532429931,-15.48336501
63095.734448,60.563308991,-16.444624241
66834.391757,60.52718003,-17.4049326
70794.578438,60.54570446,-18.441730896
74989.420933,60.565276753,-19.694298239
79432.823472,60.539021304,-20.90291773
84139.514165,60.513865914,-22.009592532
89125.093813,60.536837473,-23.220772221
94406.087629,60.513958507,-24.73436079
100000.0,60.516594009,-26.174095111
105925.37252,60.49285997,-27.76755741
