Frequency (Hz),Magnitude (dB),Phase (°)
5.0,48.171544038,-168.76517986
5.376197,49.544436425,-178.56503428
5.780698,50.792845176,171.62139939
6.215634,51.831282106,162.68587677
6.683295,52.773170868,153.90194409
7.186141,53.668969432,144.80244043
7.726822,54.410533491,136.67157734
8.308183,55.10561575,128.50147602
8.933285,55.730001687,120.80147064
9.60542,56.26584573,113.62921921
10.328125,56.754270898,106.62386318
11.105207,57.178209762,100.15374918
11.940755,57.556841304,93.932111772
12.83917,57.900930094,88.012275864
13.805181,58.198061809,82.626310832
14.843874,58.483323771,77.337922943
15.960717,58.725930787,72.405773309
17.161591,58.938242126,67.790262052
18.452818,59.1276341,63.417725318
19.841196,59.297771445,59.27051389
21.334035,59.445780958,55.373869397
22.939194,59.576330324,51.7378368
24.665124,59.692618629,48.35251778
26.520912,59.793445408,45.160140629
28.516328,59.886737652,42.115670766
30.661878,59.965157452,39.33591036
32.968858,60.035939817,36.701322875
35.449413,60.096354945,34.236409535
38.116604,60.150969454,31.935578764
40.984473,60.197496536,29.752074492
44.068118,60.242403206,27.762178982
47.383775,60.273564327,25.865940052
50.948899,60.308870796,24.121508699
54.782261,60.336313609,22.465459876
58.904043,60.363231395,20.957199604
63.335945,60.386206638,19.496841414
68.1013,60.404726904,18.180384666
73.225198,60.423095291,16.926405315
78.734614,60.435062887,15.775953521
84.658555,60.450333585,14.698080638
91.02821,60.462400132,13.682432155
97.877114,60.475522213,12.737928241
105.241324,60.484110895,11.85681616
113.159613,60.48771122,11.057265653
121.673669,60.494824599,10.296553841
130.828317,60.501955717,9.5727251642
140.671754,60.507103386,8.9096343359
151.255806,60.511274194,8.2970286
162.636194,60.517140766,7.7199332443
174.872836,60.520819192,7.1778829085
188.030155,60.52391095,6.69244758
202.177421,60.527723178,6.2164551957
217.389119,60.531421316,5.7997092247
233.745336,60.531823943,5.3875657517
251.332183,60.532636732,4.9978920754
270.242253,60.536376727,4.662256192
290.575105,60.540571769,4.3487508496
312.437787,60.542896813,4.0250753689
335.945403,60.542180854,3.75285284
361.221717,60.539736075,3.480673509
388.399805,60.544318989,3.2479053877
417.622754,60.54623655,3.0041795376
449.044419,60.544324129,2.7932081391
482.830229,60.544607778,2.5797891335
519.158062,60.54691593,2.4031616994
558.219178,60.548433374,2.2311081559
600.219227,60.548787856,2.0798951734
645.379332,60.551296307,1.9130848395
693.937253,60.548972147,1.7769227679
746.148642,60.551385993,1.6428013067
802.288381,60.548945253,1.5198309082
862.652038,60.551024135,1.40919242
927.557418,60.550974259,1.3052238575
997.346235,60.553089321,1.1968998711
1072.385919,60.55120947,1.1029669552
1153.071539,60.55100964,1.0172583891
1239.827893,60.551317697,0.92632776332
1333.111739,60.553948667,0.84535642344
1433.414201,60.552939767,0.7676122779
1541.263354,60.553055699,0.7069700009
1657.227009,60.552132117,0.6257769355
1781.915693,60.552555855,0.5810603876
1915.985873,60.551354399,0.50986431423
